Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03,437.94,453,453.5,443,446,14885824
2023-01-04,434.56,449.5,455,448.5,449.5,19188422
2023-01-05,443.26,458.5,459.5,455,459,23549581
2023-01-06,443.26,458.5,459.5,455,455,20886011
2023-01-09,465.01,481,481,467.5,468,46666263
2023-01-10,469.84,486,487,483,486,32646014
2023-01-11,468.39,484.5,488,482,487,21051115
2023-01-12,470.33,486.5,488,484,487.5,20963689
2023-01-13,483.38,500,509,499,507,77606949
2023-01-16,488.21,505,508,503,506,34373918
2023-01-17,486.28,503,504,499.5,504,27770329
2023-01-30,524.95,543,543,534,542,124428936
2023-01-31,504.65,522,538,521,537,72530854
2023-02-01,512.38,530,533,522,532,33710990
2023-02-02,522.05,540,542,537,538,43077053
2023-02-03,523.98,542,542,536,540,31635865
2023-02-06,508.51,526,533,526,532,30870136
2023-02-07,505.61,523,528,522,524,23481767
2023-02-08,522.05,540,540,534,538,35096191
2023-02-09,522.05,540,540,536,540,18861972
2023-02-10,526.88,545,546,541,544,28495684
2023-02-13,523.02,541,544,538,544,22768977
2023-02-14,526.88,545,546,543,544,21883297
2023-02-15,507.55,525,532,522,526,61796793
2023-02-16,510.45,528,531,524,528,29975138
2023-02-17,500.78,518,524,516,524,28121975
2023-02-20,499.81,517,519,511,514,20065156
2023-02-21,498.85,516,517,513,515,13504100
2023-02-22,490.15,507,509,505,506,24575245
2023-02-23,500.78,518,521,510,512,25376835
2023-02-24,494.01,511,525,511,524,41692491
2023-03-01,504.65,522,522,504,504,39560848
2023-03-02,501.75,519,520,515,519,16558784
2023-03-03,498.85,516,525,516,524,23253895
2023-03-06,503.68,521,524,517,520,21922085
2023-03-07,506.58,524,526,519,521,24861078
2023-03-08,503.68,521,523,518,521,24512408
2023-03-09,504.65,522,526,522,525,21557577
2023-03-10,495.95,513,516,511,515,24045605
2023-03-13,498.85,516,518,509,513,21466947
2023-03-14,493.05,510,514,510,511,20474770
2023-03-15,494.01,511,516,510,515,23208597
2023-03-16,490.85,505,510,504,505,21965994
2023-03-17,503.49,518,518,513,516,33118483
2023-03-20,497.66,512,518,510,517,11837312
2023-03-21,502.52,517,517,512,515,18284799
2023-03-22,518.07,533,533,524,524,42385987
2023-03-23,522.93,538,539,528,528,26728246
2023-03-24,523.9,539,539,535,536,21926240
2023-03-27,516.13,531,536,531,533,16111177
2023-03-28,510.29,525,530,524,525,17234120
2023-03-29,515.15,530,533,525,533,17280749
2023-03-30,520.01,535,537,531,536,19201564
2023-03-31,518.07,533,538,532,538,23558838
2023-04-06,515.15,530,531,526,530,25423363
2023-04-07,516.13,531,535,529,535,8557482
2023-04-10,514.18,529,533,528,533,7435151
2023-04-11,509.32,524,527,522,522,22675697
2023-04-12,505.43,520,524,517,523,23816473
2023-04-13,495.71,510,517,510,515,25536889
2023-04-14,501.55,516,520,513,516,18072504
2023-04-17,505.43,520,520,514,519,14634287
2023-04-18,500.57,515,520,514,518,15168888
2023-04-19,495.71,510,518,509,517,21123233
2023-04-20,498.63,513,516,510,512,17221961
2023-04-21,496.69,511,520,510,520,25016683
2023-04-24,492.8,507,510,504,505,16886512
2023-04-25,484.05,498,505,498,504,36898412
2023-04-26,477.73,491.5,498.5,491,498,31269245
2023-04-27,479.68,493.5,495,489,491,29537148
2023-04-28,487.94,502,502,498,498.5,24824100
2023-05-02,486.97,501,502,496.5,500,15325791
2023-05-03,482.11,496,498,495,496,11369311
2023-05-04,484.05,498,499.5,496,497,13140291
2023-05-05,485.99,500,502,498.5,500,7488897
2023-05-08,489.88,504,509,502,509,11243634
2023-05-09,495.71,510,510,505,507,16197743
2023-05-10,488.91,503,508,500,508,18859212
2023-05-11,485.02,499,506,498.5,506,13382927
2023-05-12,482.11,496,500,495,496,18465362
2023-05-15,481.62,495.5,499.5,494.5,497,13315766
2023-05-16,490.85,505,508,500,503,21140315
2023-05-17,504.46,519,521,506,508,41406763
2023-05-18,515.15,530,536,526,533,43096277
2023-05-19,517.1,532,535,529,535,32099068
2023-05-22,516.13,531,533,529,532,17208135
2023-05-23,515.15,530,531,525,530,19588873
2023-05-24,510.29,525,528,524,527,19086681
2023-05-25,527.79,543,545,537,542,63827245
2023-05-26,550.15,566,568,563,568,95808471
2023-05-29,552.09,568,574,564,574,54657853
2023-05-30,550.15,566,568,563,566,40136130
2023-05-31,542.37,558,562,551,560,81176782
2023-06-01,535.57,551,554,550,550,24477529
2023-06-02,546.26,562,564,557,559,30206141
2023-06-05,539.45,555,560,555,560,16827391
2023-06-06,544.31,560,562,553,554,20228086
2023-06-07,552.09,568,568,560,561,27604813
2023-06-08,543.34,559,568,555,562,23080195
2023-06-09,549.17,565,566,561,561,19091713
2023-06-12,557.92,574,574,571,574,26392389
2023-06-13,576.39,593,594,589,593,56174363
2023-06-14,573.47,590,591,587,590,23583314
2023-06-15,577.14,591,593,587,590,27392154
2023-06-16,575.18,589,590,584,590,38128802
2023-06-19,569.32,583,585,582,583,14346885
2023-06-20,569.32,583,585,579,579,16221413
2023-06-21,567.37,581,585,578,582,21703937
2023-06-26,560.53,574,578,574,576,27142262
2023-06-27,558.58,572,575,569,570,21501718
2023-06-28,560.53,574,579,571,579,18175426
2023-06-29,559.56,573,580,570,578,16937929
2023-06-30,562.49,576,576,568,570,22654976
2023-07-03,565.42,579,580,576,578,14785585
2023-07-04,571.28,585,585,580,585,17219541
2023-07-05,568.35,582,589,579,589,14913592
2023-07-06,551.75,565,574,565,573,28564891
2023-07-07,551.75,565,572,563,565,18796190
2023-07-10,551.75,565,573,565,567,18454982
2023-07-11,563.46,577,577,570,574,17850636
2023-07-12,564.44,578,578,572,574,15588228
2023-07-13,571.28,585,590,585,587,25442137
2023-07-14,577.14,591,591,587,589,23121873
2023-07-17,577.14,591,591,587,588,13807834
2023-07-18,567.37,581,588,580,587,20932006
2023-07-19,567.37,581,587,579,584,22499123
2023-07-20,565.42,579,584,578,580,15108109
2023-07-21,546.86,560,563,557,560,46711021
2023-07-24,544.91,558,563,557,557,25268835
