Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03,59.89,62.6,62.7,61.35,61.8,3198969
2023-01-04,59.65,62.35,62.7,62.25,62.4,3077969
2023-01-05,60.08,62.8,63.15,62.6,62.7,1844396
2023-01-06,60.47,63.2,63.45,62.75,62.8,3349418
2023-01-09,62.43,65.25,65.3,64.2,64.2,4405321
2023-01-10,62.91,65.75,65.8,65.4,65.6,4071674
2023-01-11,62.76,65.6,66,65.45,65.9,1796403
2023-01-12,62.72,65.55,65.9,65.4,65.9,1630625
2023-01-13,63.43,66.3,67.05,66.15,66.5,5188177
2023-01-16,63.96,66.85,67.05,66.6,66.6,5037758
2023-01-17,63.86,66.75,66.85,66.55,66.8,2518932
2023-01-30,66.73,69.75,70,69.3,69.3,8206249
2023-01-31,65.63,68.6,69.7,68.55,69.7,4484242
2023-02-01,65.97,68.95,69.1,68.55,68.8,2099151
2023-02-02,66.93,69.95,69.95,69.4,69.6,3986037
2023-02-03,66.93,69.95,70,69.45,69.9,4188102
2023-02-06,66.02,69,69.5,68.9,69.45,5650391
2023-02-07,65.87,68.85,69,68.55,68.9,2437842
2023-02-08,66.83,69.85,69.95,69.4,69.5,2560171
2023-02-09,66.88,69.9,69.9,69.55,69.7,1744345
2023-02-10,66.97,70,70,69.75,69.8,2378440
2023-02-13,66.83,69.85,69.95,69.3,69.95,2737238
2023-02-14,67.21,70.25,70.4,70.05,70.05,2323569
2023-02-15,65.87,68.85,69.5,68.8,69.5,4999173
2023-02-16,66.59,69.6,69.8,69.1,69.1,3373054
2023-02-17,65.73,68.7,69,68.55,69,3180518
2023-02-20,65.87,68.85,69.05,68.4,68.7,2156470
2023-02-21,65.78,68.75,68.85,68.55,68.85,1699425
2023-02-22,65.11,68.05,68.25,67.75,68,3510829
2023-02-23,66.06,69.05,69.3,68.15,68.15,1747720
2023-02-24,65.73,68.7,69.5,68.7,69.5,2533115
2023-03-01,66.06,69.05,69.15,67.75,68.05,5498577
2023-03-02,65.87,68.85,69.05,68.45,69.05,2539479
2023-03-03,66.02,69,69.45,68.95,69.05,2322302
2023-03-06,66.73,69.75,69.95,69.35,69.6,4802142
2023-03-07,67.07,70.1,70.2,69.6,69.75,4420727
2023-03-08,66.64,69.65,69.8,69.35,69.8,3537009
2023-03-09,66.54,69.55,69.85,69.5,69.7,1902810
2023-03-10,65.59,68.55,68.9,68.4,68.9,4750610
2023-03-13,65.78,68.75,68.75,67.85,68.4,5815246
2023-03-14,65.06,68,68.25,67.85,68.1,3669599
2023-03-15,65.06,68,68.7,68,68.5,2154663
2023-03-16,64.73,67.65,68,67.5,67.95,6338810
2023-03-17,65.59,68.55,68.6,68.05,68.05,1975527
2023-03-20,65.25,68.2,68.7,68.15,68.65,2873293
2023-03-21,65.54,68.5,68.75,68.4,68.55,1649573
2023-03-22,66.78,69.8,69.85,69.05,69.05,3506762
2023-03-23,67.21,70.25,70.55,69.65,69.7,4134444
2023-03-24,67.6,70.65,70.65,70.25,70.4,3657593
2023-03-27,67.16,70.2,70.5,70,70.5,3699054
2023-03-28,66.59,69.6,70.05,69.45,70,2660269
2023-03-29,66.78,69.8,70,69.45,69.8,1688459
2023-03-30,67.02,70.05,70.35,69.8,70.25,2967616
2023-03-31,67.21,70.25,70.9,70.25,70.3,3205251
2023-04-06,67.02,70.05,70.25,69.6,70.25,6049716
2023-04-07,66.93,69.95,70.3,69.95,70.1,1922216
2023-04-10,67.02,70.05,70.3,69.95,70.05,2234127
2023-04-11,66.93,69.95,70.15,69.75,69.9,2047488
2023-04-12,66.78,69.8,69.95,69.55,69.95,1704400
2023-04-13,66.21,69.2,69.6,69.2,69.6,3936038
2023-04-14,66.83,69.85,70,69.35,69.5,2271684
2023-04-17,66.73,69.75,69.85,69.4,69.85,4615563
2023-04-18,66.5,69.5,69.75,69.35,69.75,2444381
2023-04-19,66.02,69,69.6,68.9,69.5,4173167
2023-04-20,65.92,68.9,69.1,68.65,68.8,3657218
2023-04-21,65.73,68.7,69.3,68.65,69.05,3057385
