Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03,123.77,125.07,130.9,124.17,130.28,112117500
2023-01-04,125.05,126.36,128.66,125.08,126.89,89113600
2023-01-05,123.72,125.02,127.77,124.76,127.13,80962700
2023-01-06,128.27,129.62,130.29,124.89,126.01,87754700
2023-01-09,128.8,130.15,133.41,129.89,130.47,70790800
2023-01-10,129.37,130.73,131.26,128.12,130.26,63896200
2023-01-11,132.1,133.49,133.51,130.46,131.25,69458900
2023-01-12,132.02,133.41,134.26,131.44,133.88,71379600
2023-01-13,133.36,134.76,134.92,131.66,132.03,57809700
2023-01-17,134.53,135.94,137.29,134.13,134.83,63646600
2023-01-18,133.8,135.21,138.61,135.03,136.82,69672800
2023-01-19,133.86,135.27,136.25,133.77,134.08,58280400
2023-01-20,136.44,137.87,138.02,134.22,135.28,80223600
2023-01-23,139.64,141.11,143.32,137.9,138.12,81760300
2023-01-24,141.05,142.53,143.16,140.3,140.31,66435100
2023-01-25,140.38,141.86,142.43,138.81,140.89,65799300
2023-01-26,142.46,143.96,144.25,141.9,143.17,54105100
2023-01-27,144.41,145.93,147.23,143.08,143.16,70555800
2023-01-30,141.51,143,145.55,142.85,144.96,64015300
2023-01-31,142.79,144.29,144.34,142.28,142.7,65874500
2023-02-01,143.92,145.43,146.61,141.32,143.97,77663600
2023-02-02,149.25,150.82,151.18,148.17,148.9,118339000
2023-02-03,152.89,154.5,157.38,147.83,148.03,154357300
2023-02-06,150.15,151.73,153.1,150.78,152.57,69858300
2023-02-07,153.04,154.65,155.23,150.64,150.64,83322600
2023-02-08,150.34,151.92,154.58,151.17,153.88,64120100
2023-02-09,149.3,150.87,154.33,150.42,153.78,56007100
2023-02-10,149.67,151.01,151.34,149.22,149.46,57450700
2023-02-13,152.48,153.85,154.26,150.92,150.95,62199000
2023-02-14,151.84,153.2,153.77,150.86,152.12,61707600
2023-02-15,153.95,155.33,155.5,152.88,153.11,65573800
2023-02-16,152.34,153.71,156.33,153.35,153.51,68167900
2023-02-17,151.19,152.55,153,150.85,152.35,59144100
2023-02-21,147.16,148.48,151.3,148.41,150.2,58867200
2023-02-22,147.59,148.91,149.95,147.16,148.87,51011300
2023-02-23,148.07,149.4,150.34,147.24,150.09,48394200
2023-02-24,145.4,146.71,147.19,145.72,147.11,55469600
2023-02-27,146.6,147.92,149.17,147.45,147.71,44998500
